Original,Corrected
"VI.] Fig. XCVI.
(a)
Drittes Sauptftüd. Zom Bortrage.
1.§. Es ift unftreitig ein Borurtheil, als wenn die Gtärde eines Elavieriften in der bloffen Gefawindigteit beftünde. Man tan die fertigften Singer, einfad)e und doppelte friller baben, die Zipplicatur berfteben, bom Blatte teffen, es mögen fo viele Edlüffel mi Laufe des Gtüdes vortommen als fie wollen, alles ohne siele Wübe aus dem Etegereif transponiren, Decimen, aj Duodecimen greifen, läufer und Preuzfprünge bon allerleb 2itten machen fönnen, und was
*) [Eürt a. a. D. empfieblt fid) ftatt des Srillers auc einen Sriller oder Mordenten und rät, ni „Sonftücen bon webmütigem 2c. Saratter, bie Fermaten lieber gat nidt, ale Durch einen nicht zum Gangen paffenden, füarfen Eriller oder Mordenten zu berzieren"". Die Dauer Der Germaten richtet fid nach dem bert[denden 2ffett des bett. Etüdes. 2lud) 9. D. Mildmeyer (a. a. D.) rät zur Mäßigung in Der Unwendung berzierter Radenzen. Welden Smfang fe am Ende Des 18. Jhs. erreichte, bezeugen feine","VI.] Fig. XCVI.
(a)
Drittes Hauptstück. Vom Vortrage.
1.§. Es ist unstreitig ein Vorurteil, als wenn die Stärke eines Clavieristen in der bloßen Geschwindigkeit bestünde. Man kann die fertigsten Finger, einfache und doppelte Triller haben, die Applikatur verstehen, vom Blatte lesen, es mögen so viele Schlüssel im Laufe des Stückes vorkommen, wie sie wollen, alles ohne viele Mühe aus dem Stegreif transponieren, Decimen, ja Duodecimen greifen, Läufe und Kreuzsprünge von allerlei Sitten machen können, und was
*) [Fürt a. a. D. empfiehlt sich statt des Trillers auch einen Triller oder Mordent und rät, in „Stücken von wehmütigem 2c. Charakter, die Fermaten lieber gar nicht, als durch einen nicht zum Ganzen passenden, scharfen Triller oder Mordent zu verzieren"". Die Dauer der Fermaten richtet sich nach dem verziehenden Effekt des besagten Stückes. Auch J. D. Mildmeyer (a. a. D.) rät zur Mäßigung in der Anwendung verzierter Kadenzen. Welchen Umfang sie am Ende des 18. Jhs. erreichte, bezeugen seine..."
" Worte (G. 44): „3um Blüd für ben 2infanger und fürDie Rehrerfelbft, welde Sadenzen auffäreiben mußten, nahet die Radengentaferei ihrem Ende."" Mildmeber bat 10 Win. lange RabenzenÖffent- lich fpielen bören und (aeibet wifcen einfaden Fermaten, wifden Durd einen willtürliden mufitalifen Gebanten zu den folgenden libergehenden Rapricen und sollen, regeltedten
Radenzen.]

 Bom Bortrage. 81
dergleiden mehr ift; und man tan bey dem allen nod nicht ein deutlider, ein gefälliger, ein rütrender Clavierifte fehnt. Die Erfahrung lehret es melt als zu oft, wie die Ereffer und gefühwinden Epieler bon ProfeBion nichte weniger als diefe Eigenfchaften befigen, wie fle gmar burd die Finger Das Gefidt in Berwunderung feßen, der empfindlichen Geele eines Suhörere aber gar nichts zu thun geben.
Gie überraichen bas Der, obne es zu vergnügen, und betäuben den Bertand, ohne ihm genug su thun. Sa fprede biemit bem Spielen aus dem Etegereif nicht fein gebübrendeslob ab. Es ift rüfmlic), eine Fertigteit
darinn","Worte (S. 44): „Zum Glück für den Anfänger und für die Lehrer selbst, welche Kadenzen aufschreiben mussten, nahet die Kadenzenfabrikation ihrem Ende."" Man hat 10 Minuten lange Kadenzen öffentlich spielen hören und beides wussten: einfache Fermaten, durch einen willkürlichen musikalischen Gedanken zu den folgenden übergehenden Capricen und sollen, regelrecht
Kadenzen.

Vom Vortrag. 81
Dergleichen mehr ist; und man kann bei dem allen noch nicht einen deutlicher, einen gefälliger, einen rührender Clavieristen sehen. Die Erfahrung lehrt es mehr als zu oft, wie die treffender und geschwinden Spieler von Profession nicht weniger als diese Eigenschaften besitzen, wie sie zwar durch die Finger das Gesicht in Bewunderung setzen, der empfindlichen Seele eines Zuhörers aber gar nichts zu tun geben.
Sie überraschen das Ohr, ohne es zu vergnügen, und betäuben den Verstand, ohne ihm genug zu tun. Ja, spreche hiermit dem Spielen aus dem Stegreif nicht sein gebührendes Lob ab. Es ist rühmlich, eine Fertigkeit
darin."
"en zu baben, und ich rathe es felbft einem jeden aufs beite an. Es barf aber ein bloffer Sreffer wobl nicht auf die wahrhaften Derdienfte desjenigen
Unprüche machen, der mehr das Dhi als das Gencht, und mebt das Sert als
erften UInblide fogleich nad feinem wabren Snhalt und 2lffect wegzufpielen. I n ben geübteften Drobeftern wird aj oft über einige, ben Moten nado febr leichte Gachen mehr als eine Probe angeftellet*).
Die meiften Sreffer werden Diemable nichts mehr thun, als bag fie bie Poten treffen, und wie bieles wird pielleicht nicht der Jujammentang und bie erbindung der Welodie leiden, wenn
auch mi geringiten nicht ni der Sarmonie geftolpert würde? Es ift ein Borzug
fürs Glasier, Daß man es ni ber Gefchwindigteit barauf büber als einem andern Initrumente bringen tan. Man muß aber diefe Gefawindigteit nicot mif- brauchen. M a n beripate fe bis auf bie Gänge, wo man ibter nöthig bat, ohne gleid das Sempo vom 2infange zu liberfareiten. Daß id der Gefamine digteit nicht ihr Berdient,","en zu haben, und ich rate es selbst einem jeden aufs Beste an. Es darf aber ein bloßer Treffer wohl nicht auf die wahrhaften Verdienste desjenigen
Ansprüche machen, der mehr das Ohr als das Gericht, und mehr das Herz als
ersten Anblick sogleich nach seinem wahren Inhalt und Effekt wegzuspielen. In den geübtesten Proben wird auch oft über einige, den Noten nach sehr leichte Sachen mehr als eine Probe angestellt*).
Die meisten Treffer werden diesmal nichts mehr tun, als dass sie die Noten treffen, und wie vieles wird vielleicht nicht der Zusammenhang und die Verbindung der Melodie leiden, wenn
auch im Geringsten nicht in der Harmonie gestolpert würde? Es ist ein Vorzug
fürs Klavier, dass man es in der Geschwindigkeit darauf höher als einem anderen Instrumente bringen kann. Man muss aber diese Geschwindigkeit nicht missbrauchen. Man beherzige sie bis auf die Gänge, wo man ihrer nötig hat, ohne gleich das Tempo vom Anfange zu überarbeiten. Dass ich der Geschwindigkeit nicht ihr Verdienst,"
" und folglich weder ihren g u t e n nod Stothmendig- feit nehme, wird man daraus abnehmen, baß id verlange, daß die Probe-Gtüde aus dem & und f mol, und die aus den tleinften Toten beftehenden Päufer in dem, aus dem E mol aufs burtigite wiewobl beutlich gefpielet werden müffen. In einigen auswärtigen Begenden berrfaet gegentheils befonders biefer Feller febr frard, bag man die 2ibagios zu burtig und bie 2illegros zu langfam fpielet. Was fur em Stoerpruc in eter foloen att von Lustubrung fede, braud)t man nidt methodid darzuthun. Dod) halte man nicht bafür, als ob id bie- mit diejenigen trägen und fteifen Sände reditfertigen will, die einen aus Gefällig. teit einfahläfern, die unter dem Dormande des fangbaren das Inftrument nidt zu beleben wiffen, und burd den berdrießlichen Bortrag ibrer gähnendenEin- fälle nod weit mehrere Dorwürfe, als die gefaminden Spieler verdienen. Dieje lettern find zum wenigften noch der Berbefferung fähig; i r Feuer fan gedämpfet werden, wenn man fe ausbrüdlid","und folglich weder ihren guten noch Stothmendigkeit nehme, wird man daraus abnehmen, daß ich verlange, daß die Probestücke aus dem G und F-Moll, und die aus den kleinsten Noten bestehenden Passagen in dem, aus dem E-Moll aufs deutlichste wiewohl befließend gespielt werden müssen. In einigen auswärtigen Gegenden herrscht gegenteils besonders dieser Fehler sehr stark, daß man die Adagios zu kurz und die Allegros zu langsam spielt. Was für ein Stoßprüf in einer solchen Art von Lustbringung sehe, braucht man nicht methodisch darzutun. Doch halte man nicht dafür, als ob ich hiermit diejenigen trägen und steifen Hände rechtfertigen will, die einen aus Gefälligkeit einschläfern, die unter dem Vorwande des Sängbaren das Instrument nicht zu beleben wissen, und durch den verdrießlichen Vortrag ihrer gähnenden Einfälle noch weit mehr Tadel als die gewissenhaften Spieler verdienen. Diese letzteren sind zum wenigsten noch der Verbesserung fähig; ihr Feuer kann gedämpfet werden, wenn man sie ausdrücklich"
" zur langfamteit an- [103] bält, da das
*) [Sim eben bei „grogen Mufiten"" burd gemein(ame Berftändigung nad) bem Etubium
der betanntlid) meift unbezeidneten Gtimmen zur einheitliden Zuffaffung zu gelangen.] [Bad, Berfuch.]

 8 2 Das dritte Sauptftüd.
bopodondrife Defen, das aus den matten Fingern bis jum Edel bervorblidet, wobl wenig ober gar nicht durd bas Gegentheil zu neben ift.Betde übrigens üben ibt Inftrument blos mafcinenmäßig aus, da zu dem rürenden Epielen gute Ropfe erfodert moerden, die fich gewiffen vernünftigen Diegeln zu unter= werfen und barad thre Gtüce borzutragen fäbig find.
2. §. Dorinn aber beftelt ber gute Bortrag? in nichts anderem als der Fertigteit, mufitalifche Gedancen nad ihrem wabren Inhalte und 2ffect fingend oder fpielend dem Gehöre empfindlich zu maden. Man fan burd die Der= fehiebenbeit befelben einerley Gebanden dem Ohre fo beränderlid machen, baß man faum mehr empfindet, daß es einerlet Gebanden gerefen find.
3 . § . Die Begenftände des Bortrages find ","zur Langsamkeit an- [103] hält, da das
*) [ist eben bei „großen Musikern"" durch gemeinsame Verständigung nach dem Studium
der bekanntlich meist unbezeichneten Stimmen zur einheitlichen Auffassung zu gelangen.] [Bach, Versuch.]

§ 2. Das dritte Hauptstück:
bedeutendere Dezen, das aus den matten Fingern bis zum Ende hervorgetretet, wohl wenig oder gar nicht durch das Gegenteil zu nehmen ist. Welche übrigens ihre Instrumente bloß maschinenmäßig spielen, da zum rührenden Spielen gute Köpfe erforderlich werden, die sich gewissen vernünftigen Regeln zu unterwerfen und dadurch ihre Stücke vorzutragen fähig sind.
§ 2. Worin aber besteht der gute Vortrag? In nichts anderem als der Fertigkeit, musikalische Gedanken nach ihrem wahren Inhalte und Effekt singend oder spielend dem Gehöre empfindlich zu machen. Man kann durch die Verschiedenheit derselben einerlei Gedanken dem Ohre so veränderlich machen, dass man kaum mehr empfindet, dass es einerlei Gedanken gewesen sind.
§ 3. Die Gegenstände des Vortrages sind"
"Die Gtärde und Edwäde Der Söne, ihr Druct, Eanellen, Siehen, Etoffen, Beben, Breden, Salten, Edleppen und Fortgeben. Der dieje Dinge entweder gar nidt oder zur unrechten 3eit gebrauchet, der bat einen flechten Bortrag.
4.§. Der gute Bortrag ift alfo fofort daran zu ertennen, toent man alle Poten nebft den ihnen zugemeffenen guten Manieren zu rediter 3eit in ihrer gehörigen Gtärde durd) einen nad bem wabren Inbalte des Gtüds ab- gewognen Druc mit einer Leichtigteit hören läßt. Sieraus entitebet das Kunde Keine undglieffende in der Spielatt, und wird man dadurch) deutlich und aus- brüdend. Man muß aber zu dem Ende die Gefahaffenbeit desjenigen Initruments
worauf man fpielet, wobl unterfuden, bamit man es meder zu wenig, nod) zu viel angreife. Manches Glavier giebt nicht eber feinen solltommnen und reinen Son son fch, als wenn man es fard angreift; ein anderes wiederummuß febt gefahonet werden, oder man übertreibt bas Zin[prechen des Fons. Diefe 2n- merctung, die [chon mi Eingange gemadt ","Die Stärke und Schwäche der Töne, ihr Druck, Einhalten, Ziehen, Stoßen, Beben, Brechen, Salten, Abschleppen und Fortgeben. Wer diese Dinge entweder gar nicht oder zur unrechten Zeit gebraucht, der hat einen schlechten Vortrag.
4.§. Der gute Vortrag ist also sofort daran zu erkennen, wenn man alle Noten nebst den ihnen zugemessenen guten Manieren zur rechten Zeit in ihrer gehörigen Stärke durch einen nach dem wahren Inhalte des Stücks abgewogenen Druck mit einer Leichtigkeit hören lässt. Hieraus entsteht das ruhige, gleichmäßige in der Spielart und wird man dadurch deutlich und ausdruckend. Man muss aber zu dem Ende die Beschaffenheit desjenigen Instruments, worauf man spielt, wohl untersuchen, damit man es weder zu wenig, noch zu viel angreife. Manches Klavier gibt nicht eher seinen vollkommenen und reinen Ton von sich, als wenn man es stark angreift; ein anderes wiederum muss sehr geschont werden, oder man übertreibt das Ansprechen des Tons. Diese Anmerkung, die schon im Eingange gemacht"
"[104] worden, wiederhoble id alliier bestoegen nod, einmabl, damit man auf eine vernünftigere Uit, als insgemein gefchiebet, nemlich nicht burd eine übertriebene Geralt des 2inichlages, fondern
vieimebt butd) barmonifebe und melodife Siguren, g. E. Die Raferen, Den Jorn oder andere gewaltige 2iffecten borzuftellen fuche. 2luch in ben geid)roin- deiten Gedanden muf man hierbey jeder Fote ibren gehörigen Druc geben; fonten ift der 2infalag ungleid und undeutlic). Diefe Gebanden werden gemeiniglich nach der bey den Frillern angeführten 2tt gefchnellet.
5.§. Die Lebhaftigteit des Zilegro toits gemeiniglich in geftofenen Noten und bas 3ärtliche des 20agio ni getragenen und gefableiften Proten Dor- geftellet. Man bat alfo beym Bortrage barauf zu feben, bag diefe Ulrt und Eigenfchaft des2illegro und 2idagio ni Dbacht genommen werde, wenn aud) diejes bet ben Gtüden nicht angedeutet ift, und der Spieler nod nicht hinläng liche Einfichten in Den 2iffect eines Gtüdes bat. Sa feße oben mit Fleiß g","[104] worden, wiederhole ich allerbesten noch einmal, damit man auf eine vernünftigere Art, als insgemein geschrieben, nämlich nicht durch eine übertriebene Gewalt des Anschlages, sondern vielmehr durch harmonische und melodische Figuren, z. B. die Kadenzen, den Ton oder andere gewaltige Effekten vorzustellen suche. Auch in den getragenen Gedanken muss man hierbei jeder Note ihren gehörigen Druck geben; sonst ist der Anschlag ungleich und undeutlich. Diese Gedanken werden gemeiniglich nach der bei den Trillern angeführten Art geschehen.
5. §. Die Lebhaftigkeit des Allegro wird gemeiniglich in gestoßenen Noten und das Zärtliche des Adagio in getragenen und gesanglichen Tönen dargestellt. Man hat also beim Vortrag darauf zu sehen, dass diese Art und Eigenschaft des Allegro und Adagio in Acht genommen werde, wenn auch dieses bei den Stücken nicht angedeutet ist, und der Spieler noch nicht hinlängliche Einsichten in den Effekt eines Stückes hat. So setze ich oben mit Fleiß..."
"emeiniglich, weil i d wohl weiß, baß alerband 2eten von Soten bey aler- band 2Itten Der 3eit-Maaffe bortommen Fönnen.

 Bom Bortrage. 83
6. §. Einige Perfonen [pielen Flebericht, alß wenn fie leim gwifden den Fingern hätten. Shr 2infahlag ift zu lang, indem fie bie Toten liber die 3eit liegen laffen. Undere baben es berbeffern wollen, und fpielen zu turs; als wenn die Saften glühend wären. Es thut aber aud falectt. Die Wittelftraffe ift Dei befte; ich rede biebon überhaupt; ale 2rten Des Unfalages finò jur rechten 3eit gut.
7.§. Degen Mangel bes langen Sonhaltens und bes bolltommnen 216- und Zunehmen des Sones, welches man nicht unredt burd Goatten und Pic)t mablerifch ausbrüct, ift es teine geringe Qufgabe, auf unferm Inftrumente ein 2bagio fingend zu [105] fpielen, ohne burd zu wenige 2lusfüllungen zu biel 3eitraum und Einfalt blicten zu laffen, oder burd) zu biele bunte Toten un. deutlich und lächerlich zu werden. Indeffen, ba die Gänger und diejenigen Inftrumentiften, die biefen Ma","emeiniglich, weil ich wohl weiß, daß allerhand Zeiten von Noten bei aller- hand Tritten der Zeit-Maße vorkommen können.

Vom Vortrag. 83
6. §. Einige Personen spielen flüchtig, als wenn sie keinen Zwischenraum zwischen den Fingern hätten. Ihr Anschlag ist zu lang, indem sie die Noten über die Zeit liegen lassen. Andere haben es verbessern wollen, und spielen zu kurz; als wenn die Tasten glühend wären. Es tut aber auch falsche. Die Mittelfrische ist die beste; ich rede hiervon überhaupt; alle Arten des Anschlages sind zur rechten Zeit gut.
7. §. Gegen Mangel des langen Aushaltens und des vollkommenen An- und Zunehmens des Tones, welches man nicht unrecht durch Schatten und Licht malerisch ausdrückt, ist es keine geringe Aufgabe, auf unserem Instrument ein Adagio singend zu [105] spielen, ohne durch zu wenige Ausfüllungen zu viel Zeitraum und Einfalt liegen zu lassen, oder durch zu viele bunte Noten undeutlich und lächerlich zu werden. Indessen, da die Sänger und diejenigen Instrumentisten, die diesen Ma"
"ngel nicht empfinden, ebenfalle nur felten die langen Noten ohne Sierratben vortragen bürfen, um teine Ermüdung und Gdläftigteit bliden zu laffen, und ba bey unferm Inftrumente Diefer Mangel vorzüglid dura berfciedene Sulfemittel, harmonifche Brechungen, und bergleidhen binlänglich erfenet wird, über diejes aud das Gehör auf bem Claviere mebt ewegung leiden tan, als fonften: of tan man mit gutem Erfolge Droben ab. legen, womit man zufrieden feyn tan, man mügte denn befondets wider das Clavier eingenommen feyn*). Die Mittelftraffe ift freilich fawer hierinnen zu finden, aber dod) nicht unmöglid); zudem of fins unfere meiten Sülfsmittel zum 2lushalten, 3. E. Dei Sriller und Morbenten, bet ber Gtimme und ander Inftrumenten of gut gewöhnlich als bey bem unftigen. Es müfen aber ale biefe Manieren rund und bergeftalt borgetragen werden, bag man glauben follte
man böre blofe fumple Toten. Es gehört biezu eine Frenbeit, die alles fclavifce und mafchinenmäßige ausfaltefet. Lus der Geele muß man","ngel nicht empfinden, ebenfalls nur selten die langen Noten ohne Zierraten vortragen dürfen, um keine Ermüdung und Geschäftigkeit bilden zu lassen, und da bei unserem Instrument dieser Mangel vorzüglich durch verschiedene Hilfsmittel, harmonische Brechungen und dergleichen hinlänglich ersetzt wird, überdies auch das Gehör auf dem Clavier mehr Bewegung leiden kann als sonst: so kann man mit gutem Erfolge darauf ablegen, womit man zufrieden sein kann, man möge denn besonders wider das Clavier eingenommen sein*). Die Mittelsprache ist freilich schwer hierin zu finden, aber doch nicht unmöglich; zudem sind uns unsere meisten Hilfsmittel zum Aushalten, z. B. der Triller und Mordenten, bei der Stimme und anderen Instrumenten so gut gewöhnlich als bei dem unsrigen. Es müssen aber alle diese Manieren rund und dergestalt vorgetragen werden, dass man glauben sollte,
man höre bloße simple Töne. Es gehört hierzu eine Freiheit, die alles sklavische und maschinenmäßige ausschließet. Aus der Seele muss man  "
" fpielen, und nicht wei ein abgerichteter Bogel. | Ein Elavierift von Diefer 2let berbienet allezeit mehr Dand als ein andrer Wcuftus. Diejem lettern tit es ebe zu berbenten, wenn er bizart fingt oder fpielt, als jenem.
*) [B. 9. Wolf, Sinterridt im Rlabierfpielen, Göttingen 1783, betont (9. 215/@nit S. 89) ale erite Mortragstegel, die P5. Em. Bad wohl als felbitueritandlid) nicht weiter berilrt, baß bie erfte gebingung beß ridtigen Bortrages eines Gtüdes Dei genaue Renntnis und Beridfidtigung ber Eigenart bes Inftrumentes fein müffe; ,denn man tan nidt ein Slavier oder ein Fortepiano wie das andere behandeln. Daßjenige, weldes nur eine leidte Behandlung berträgt, barf nicht zu bart angegriffen werden, fondern man muf den Son burd einen gelinden Drud bervorbringen. Dasjenige aber, weldes eine barte Behand- lung berträgt, barf man nict fanft anfdlagen, denn fonft würde man den einen Son bören, ben andern nicht; fondern bier muß der Unfalag etroas ftart fein. S(. 90). Gobald ic nun Die E","spielen, und nicht wie ein abgerichteter Vogel. | Ein Clavierist von dieser Art verdient allezeit mehr Hand als ein anderer Virtuos. Diesem Letzteren ist es eher zu verzeihen, wenn er bizarr singt oder spielt, als jenem.
*) [B. 9. Wolf, Unterricht im Clavierspielen, Göttingen 1783, betont (s. 215/nach S. 89) als erste Vortragsregel, die C. P. E. Bach wohl als selbstverständlich nicht weiter erläutert, dass die erste Bedingung des richtigen Vortrages eines Stückes die genaue Kenntnis und Berücksichtigung der Eigenart des Instrumentes sein müsse; denn man kann nicht ein Clavier oder ein Fortepiano wie das andere behandeln. Dasjenige, welches nur eine leichte Behandlung verträgt, darf nicht zu hart angegriffen werden, sondern man muss den Ton durch einen gelinden Druck hervorbringen. Dasjenige aber, welches eine harte Behandlung verträgt, darf man nicht sanft anschlagen, denn sonst würde man den einen Ton hören, den anderen nicht; sondern hier muss der Anschlag etwas stark sein. (S. 90). Sobald ich nun die"
"igenfcaften des Inftrumentes, das id vor mit habe, tenne, fo weis id aud, was fich auf bemfelben anbringen läft ober nicht ufw.""]
6*

 84 Das dritte Sauptitüd.
8.§. Sim eine Einfidt in den wahren Inhalt und 2lffect eines Gtüdes zu erlangen, und in Ermangelung ber nöthigen Seichen, die barinnen bortommenden Noten zu beurtheilen, ob fie gefaleift oder geftoffen u. .f w. werden follen, in- gleichen, was betUnbringung der Manieren in 2dt zu nehmen ift, thut man wobl, bas man fid, Gelegenheit berchaffet, of wobl eintelne Mu- [106] ficos als ganse Wufdübende Gefelfdaften zu bören. Diejes it um of viel nöthiger je mebrern zufälligen Dingen meiftentheils diefe Edönheiten unterworfen find. Man muf die Manieren in einer nach dem 2lffect abgemenen Etärde und Eintheilung bes Sattes anbringen. Wiewobl man, um nidt undeutlid, zu werden, ale Paufen fo wobl als Toten nach der Gtränge der ermeblten Bewegung halten muß, ausgenommen in Fermaten und Eadengen: Eo tan man Dody öfters die fahönften Febler wi","Eigenschaften des Instrumentes, das ich vor mir habe, kenne, so weiß ich auch, was sich auf demselben anbringen lässt oder nicht usw.""]

84 Das dritte Hauptstück.
8. §. Um eine Einsicht in den wahren Inhalt und Affekt eines Stückes zu erlangen, und in Ermangelung der nötigen Zeichen, die darin vorkommenden Noten zu beurteilen, ob sie gestoßen oder gehalten usw. werden sollen, in- gleichen, was bei Anbringung der Manieren in acht zu nehmen ist, tut man wohl, dass man sich Gelegenheit verschafft, sowohl einzelne Musiker als ganze musizierende Gesellschaften zu hören. Dies ist um so viel nötiger, je mehreren zufälligen Dingen meistenteils diese Schönheiten unterworfen sind. Man muss die Manieren in einer nach dem Affekt abgemessenen Stärke und Einteilung des Satzes anbringen. Wiewohl man, um nicht undeutlich zu werden, alle Pausen sowohl als Noten nach der Strenge der erwähnten Bewegung halten muss, ausgenommen in Fermaten und Kadenzen: So kann man doch öfters die schönsten Fehler vermeiden, indem..."
"der den Sact mit Fleiß begehen, dod mit biefem Sinterfcheid, baß, wenn man aleine oder mit wenigen und gmar bet- ftändigen Perfonen fpielt, foldes bergejtalt gefaeben tan, bag man der ganten Bewegung zuweilen einige Gewalt anthut; die Begleitenden werden darüber, anftatt fich irren zu laffen, bielmehr aufmerdfam werden, und in unfere 21bfid)ten einfalagen; bag aber, wenn man mit ftarder Begleitung, und gwar wenn felbige aus bermifebten Perfonen von ungleicher Gtärde beitebt, man blos ni feiner Gtimme allein wider die Eintheilung des Sadts eine 2lenderung vornelmen Ean, indem die Sauptbewegung befielben genau gehalten werden muß.
9. §. 2ille Echwürigteiten in Paffagien find burd eine ftarde Slebung
zu erlernen und exfordern in der Shat nicht fo biele Mühe als der gute Bortrag einfacher Stoten. Stele maden manchem su c a t t e n , melder bas Clabier für fumpler hält als es ift. Go fauftfertig man unterdefen jet: fo traue man fich nicht mehr zu als man bezwingen tan, wenn man öffentlich f","der den Satz mit Fleiß begehen, doch mit diesem Unterschied, dass, wenn man alleine oder mit wenigen und zwar beständigen Personen spielt, solches dergestalt geschehen kann, dass man der ganzen Bewegung zuweilen einige Gewalt antut; die Begleitenden werden darüber, anstatt sich irren zu lassen, vielmehr aufmerksam werden, und in unsere Absichten einschlagen; dass aber, wenn man mit starker Begleitung, und zwar wenn selbige aus vermischten Personen von ungleicher Stärke besteht, man bloß in seiner Stimme allein wider die Einteilung des Taktes eine Änderung vornehmen kann, indem die Hauptbewegung derselben genau gehalten werden muss.

9. §. Alle Schwierigkeiten in Passagen sind durch eine starke Übung zu erlernen und erfordern in der Tat nicht so viele Mühe als der gute Vortrag einfacher Noten. Viele machen manchem zu schaffen, welcher das Klavier für simpler hält als es ist. So sorgfältig man unterdessen jetzt, so traue man sich nicht mehr zu als man bezwingen kann, wenn man öffentlich sp"
"pielt, indem man alsdenn felten ni der gehörigen Gelaffenbeit, aud) nicht allezeit gleich aufgeräumt ift. Geine Sähigteit und Difpofition Ean man an den gefdwindeten und fahrerften Daffagien abmeffen, damit man fich nicht übertreibe und bernad fteen bleibe. Diejenigen Gänge, welche zu Saufe mit Wühe und [107) fogar nur bann und wann glicen, muß man öffentlid, weglaffen, man müfte denn ni einer gant befondern Faffung des Gemüthes feyn. Lud durd Probirung der Eriller und andrer feinen Manieren tan man bas Gnitrument zuvor erforfcen. Ulle diefe Borfichten find aus groeberled Straden notwendig, erftlid, damit der Bortrag leicht und fliefend fey, und ferner, damit man gewife ängftlide Gebäbrben permeiden tönne, bie die Juböter, anftatt fe zu ermunter, vielmebr verdrieflich machen müffen.
10. §. Der Grad der Bewegung läft fid fo wohl nad dem Snhalte bes Gtüdes überbaupt, ben man burd gewife betannte italiänice Runft-Wörter anzuzeigen pflegt, als befonders aus den gefchwindeten Toten und Figu","spielt, indem man alsdenn selten in der gehörigen Gelassenheit, auch nicht allezeit gleich aufgeräumt ist. Seine Fähigkeit und Disposition kann man an den geschwindesten und schwersten Passagien abmessen, damit man sich nicht übertreibe und danach stehen bleibe. Diejenigen Gänge, welche zu Hause mit Mühe und [107] sogar nur dann und wann glücken, muß man öffentlich weglassen, man müßte denn in einer ganz besonderen Fassung des Gemüthes sein. Auch durch Probirung der Triller und anderer feiner Manieren kann man das Instrument zuvor erforschen. Alle diese Vorsichten sind aus groberled Straden notwendig, erstlich, damit der Vortrag leicht und fließend sei, und ferner, damit man gewisse ängstliche Gedanken vermeiden könne, die die Zuhörer, anstatt sie zu ermuntern, vielmehr verdrießlich machen müßten.
10. §. Der Grad der Bewegung läßt sich sowohl nach dem Inhalte des Stückes überhaupt, den man durch gewisse bekannte italienische Kunst-Wörter anzuzeigen pflegt, als besonders aus den geschwindesten Noten und Figuren"
"ten Darinnen beurtheilen. Dey diefet Sinterfuchung wird man fid, ni den Gtand f egen,meberi m2lllegroiibereileno,no di m2 bagiog ufchldfeigg umerben.

 Bom Gortrage. 85
1. §. Sie begleitenden Gtimmen muß man, foviel möglid), son berjenigen Sanbberfchonen, toelche den berridenden Befang führet, damit fie felbigen mit aler Frenheit ungehindert gefahidt berausbringen tönne.
12. § . Wir baben mi 8. S . als ein Wittel, ben guten Bortrag zu erlernen, die Befuchung guter Mufiden borgefa)lagen. Wir fügen alliier nod binzu, daß man teine GelegenheitDerabfäumen müfe, gefchidte Gänger befonders zu boren: Man lernet badurch ligend benden, und tird man toobl thun, daß man f a bernach felbit einen Gebanden borfinget, um den rechten Bortrag des- felben zu treffen. Diefes wird allezeit bon gröfferm grusen febn, als foldes aus weitläuftigen Büchern und Discurfen zu boblen, worinn man bon nichte anderm als son Platut,Gefamad, Gefang, Melodie, böret, ungeachtet ibre Sitheber öfters nicht mi Gtande fino, ","ten Darinnen beurteilen. Bey dieser Untersuchung wird man sich, in den Stand sezen, mehrere mit Leichtigkeit zu überschlagen werden.

Vom Vortrage. 
1. §. Die begleitenden Stimmen muß man, soviel möglich, von derjenigen Hand verschonen, welche den führenden Gesang führet, damit sie selbigen mit aller Freyheit ungehindert geschwind herausbringen könne.
12. §. Wir haben im 8. §. als ein Mittel, den guten Vortrag zu erlernen, die Besuchung guter Musiker vorgeschlagen. Wir fügen allhier noch hinzu, daß man keine Gelegenheit versäumen müsse, geschickte Sänger besonders zu hören: Man lernet dadurch singend denken, und wird man wohl thun, daß man es danach selbst einen Gedanken vorsinget, um den rechten Vortrag desselben zu treffen. Dieses wird allezeit von größerem Nutzen seyn, als solches aus weitläufigen Büchern und Discourse zu holen, worin man von nichts anderem als von Plattitüden, Geschmack, Gesang, Melodie, höret, ungeachtet ihre Schreiber öfters nicht im Stande sind,"
